Trimestre,Categoria,Tipo,Evento,DataInicio,DataFim,Cor,Subtipo,Bloco-Contrato
Trim 2,Poços,SARACURA_SANHAÇU,Perfuração,2029-06-09 00:00:00,2029-11-05 00:00:00,FF0000,SARACURA_SANHAÇU,FZA-M-88-FZA-M-88_R11
Trim 2,Poços,UAPI,Perfuração,2029-04-29 00:00:00,2029-08-30 00:00:00,FF0000,UAPI,P-M-1443-P-M-1443_OP4
Trim 2,Prazos Contratuais ANP,,Início,2009-06-01 00:00:00,,00FF00,Prazos Contratuais ANP,1-DEV-14A-MAS-BM-BAR-3
Trim 2,Prazos Contratuais ANP,,Início,2014-05-08 00:00:00,,00FF00,Prazos Contratuais ANP,1-RNS-158-BM-POT-17
Trim 2,Prazos Contratuais ANP,,Início,2014-05-28 00:00:00,,00FF00,Prazos Contratuais ANP,1-CES-157-BM-POT-16
Trim 2,Prazos Contratuais ANP,,Início,2022-04-27 00:00:00,,00FF00,Prazos Contratuais ANP,ATAPU_ECO-ATAPU_ECO
Trim 2,Prazos Contratuais ANP,,Início,2022-04-27 00:00:00,,00FF00,Prazos Contratuais ANP,SÉPIA_ECO-SÉPIA_ECO
Trim 2,Prazos Contratuais ANP,,Início,2023-05-31 00:00:00,,00FF00,Prazos Contratuais ANP,ÁGUA-MARINHA-ÁGUA-MARINHA_OPP1
Trim 2,Prazos Contratuais ANP,,Início,2023-05-31 00:00:00,,00FF00,Prazos Contratuais ANP,NORTE DE BRAVA-NORTE DE BRAVA_OPP1
Trim 2,Prazos Contratuais ANP,,Início,2023-05-31 00:00:00,,00FF00,Prazos Contratuais ANP,SUDOESTE DE SAGITÁRIO-SUDOESTE DE SAGITÁRIO_OPP1
Trim 2,Prazos Contratuais ANP,,Início,2024-06-28 00:00:00,,00FF00,Prazos Contratuais ANP,P-M-1277-P-M-1277_OP4
Trim 2,Prazos Contratuais ANP,,Término,2017-06-19 00:00:00,,00FF00,Prazos Contratuais ANP,1-MAS-36-BM-BAR-1
Trim 2,Prazos Contratuais ANP,,Término,2021-06-25 00:00:00,,00FF00,Prazos Contratuais ANP,1-CES-157-BM-POT-16
Trim 2,Prazos Contratuais ANP,,Término,2026-04-23 00:00:00,,00FF00,Prazos Contratuais ANP,ES-M-596-ES-M-596_R11
Trim 2,Prazos Contratuais ANP,,Término,2026-06-11 00:00:00,,00FF00,Prazos Contratuais ANP,C-M-753-C-M-753_R15
Trim 2,Prazos Contratuais ANP,,Término,2026-06-11 00:00:00,,00FF00,Prazos Contratuais ANP,C-M-789-C-M-789_R15
